coalition_id,members,size,v_value,absolute_fitness,baseline_fitness,notes
0,(),0,0.0,0.4655276360374676,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
1,"('D0',)",1,0.12433653844719728,0.5898641744846649,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
2,"('D1',)",1,0.03182453419958353,0.49735217023705114,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
3,"('D2',)",1,0.08676610631144344,0.552293742348911,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
4,"('D3',)",1,0.10075060263581725,0.5662782386732849,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
5,"('D0', 'D1')",2,0.2120061360901696,0.6775337721276372,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
6,"('D0', 'D2')",2,0.24344463794771387,0.7089722739851815,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
7,"('D0', 'D3')",2,0.10528266271161335,0.570810298749081,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
8,"('D1', 'D2')",2,0.07330113871401667,0.5388287747514843,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
9,"('D1', 'D3')",2,-0.023914688739880396,0.4416129472975872,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
10,"('D2', 'D3')",2,0.06889755507787221,0.5344251911153398,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
11,"('D0', 'D1', 'D2')",3,0.2131521829692875,0.6786798190067551,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
12,"('D0', 'D1', 'D3')",3,0.045627941319661636,0.5111555773571292,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
13,"('D0', 'D2', 'D3')",3,0.2558347278967913,0.7213623639342589,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
14,"('D1', 'D2', 'D3')",3,0.08337857177311292,0.5489062078105805,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
15,"('D0', 'D1', 'D2', 'D3')",4,0.3362272720731031,0.8017549081105707,0.4655276360374676,scenario=ethiraj2004;true=3;designer=4;basis=designer
