coalition_id,members,size,mean_value,std_value,runs,notes
0,(),0,0.0,0.0,0,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7;empty coalition
1,"('0',)",1,0.4880795480429428,0.07995081289140868,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
2,"('1',)",1,0.5232309526661735,0.08123408200322496,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
3,"('2',)",1,0.4929597813220223,0.011083195175758342,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
4,"('3',)",1,0.5590571539788199,0.03525859668290927,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
5,"('4',)",1,0.5640807824756874,0.043391051792754966,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
6,"('5',)",1,0.46884013997646856,0.03752831211951512,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
7,"('6',)",1,0.4849973586394951,0.05331358784247889,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
8,"('7',)",1,0.5950090818280848,0.11080709739381485,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
9,"('0', '1')",2,0.6302619134162198,0.07463575143624922,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
10,"('0', '2')",2,0.43539256418258976,0.0332426126529199,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
11,"('0', '3')",2,0.5529629639159978,0.09539197807715058,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
12,"('0', '4')",2,0.5447795273880779,0.027564021728109508,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
13,"('0', '5')",2,0.46503786212444975,0.04104170708634274,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
14,"('0', '6')",2,0.5019898979541758,0.00809077599265216,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
15,"('0', '7')",2,0.551749355343761,0.09361594759807956,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
16,"('1', '2')",2,0.6086314389633337,0.06372769631892936,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
17,"('1', '3')",2,0.5094865973008909,0.05281605987096755,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
18,"('1', '4')",2,0.522267090706127,0.040389785715941665,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
19,"('1', '5')",2,0.5619981942608515,0.043321483985419226,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
20,"('1', '6')",2,0.46547988314569694,0.03922523751508907,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
21,"('1', '7')",2,0.5113858616455603,0.01029080647401671,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
22,"('2', '3')",2,0.5358272826052728,0.054762355454798614,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
23,"('2', '4')",2,0.49502777683478616,0.032548760476423265,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
24,"('2', '5')",2,0.532978746166846,0.014598153099610139,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
25,"('2', '6')",2,0.4689470534871445,0.02216788594957162,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
26,"('2', '7')",2,0.5110199113454598,0.1062122265813376,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
27,"('3', '4')",2,0.5463559639150154,0.031710826532897286,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
28,"('3', '5')",2,0.48138107335674213,0.056503344827066974,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
29,"('3', '6')",2,0.5166435881710866,0.06857359890580271,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
30,"('3', '7')",2,0.5535708640544004,0.022341612263379128,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
31,"('4', '5')",2,0.5143469787339439,0.025174661766904728,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
32,"('4', '6')",2,0.5291645111007858,0.05044172939404644,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
33,"('4', '7')",2,0.5516353899419689,0.04922706864975903,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
34,"('5', '6')",2,0.5639004956929127,0.04063294516700489,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
35,"('5', '7')",2,0.48239292082578916,0.02352502307942378,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
36,"('6', '7')",2,0.5519387272060361,0.0750721090537758,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
37,"('0', '1', '2')",3,0.6393806652745152,0.03843725294653967,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
38,"('0', '1', '3')",3,0.5465102367946645,0.012563153429113646,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
39,"('0', '1', '4')",3,0.5894675328341658,0.018508199411167225,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
40,"('0', '1', '5')",3,0.5871648344348411,0.06202416060294787,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
41,"('0', '1', '6')",3,0.5707662547963975,0.04868983259456209,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
42,"('0', '1', '7')",3,0.5050742753058707,0.06258880873280882,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
43,"('0', '2', '3')",3,0.5441361663644032,0.06254634897807718,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
44,"('0', '2', '4')",3,0.45493339054427745,0.022772387510732205,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
45,"('0', '2', '5')",3,0.5329290009317377,0.009069597086606205,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
46,"('0', '2', '6')",3,0.49010883131312727,0.01966927480104788,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
47,"('0', '2', '7')",3,0.5327078163098425,0.030748539114834612,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
48,"('0', '3', '4')",3,0.5215252175984876,0.0712719050179851,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
49,"('0', '3', '5')",3,0.4564473743027028,0.02524803261559445,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
50,"('0', '3', '6')",3,0.5150871373293059,0.05569050356646176,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
51,"('0', '3', '7')",3,0.5228337496025816,0.04740783355995745,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
52,"('0', '4', '5')",3,0.568327179491193,0.05167161162531047,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
53,"('0', '4', '6')",3,0.5002733504119573,0.07793866086395632,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
54,"('0', '4', '7')",3,0.4913173829391038,0.02388355513048258,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
55,"('0', '5', '6')",3,0.5119970334958762,0.037712259483398514,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
56,"('0', '5', '7')",3,0.4865333331809601,0.008724518385020108,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
57,"('0', '6', '7')",3,0.5512021723747941,0.02863648351194266,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
58,"('1', '2', '3')",3,0.6042935647927868,0.01715835479057498,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
59,"('1', '2', '4')",3,0.538880022207011,0.042193465274915264,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
60,"('1', '2', '5')",3,0.4731992851490974,0.019719744032424727,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
61,"('1', '2', '6')",3,0.6056955704815689,0.03107562494772439,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
62,"('1', '2', '7')",3,0.529056070793481,0.06706508053811715,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
63,"('1', '3', '4')",3,0.5710735191851746,0.013424076619966389,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
64,"('1', '3', '5')",3,0.5124471566369349,0.03763673147332378,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
65,"('1', '3', '6')",3,0.4969864135504558,0.055196702921958954,3,scenario=lazer2007;N=8;K=3;rounds=150;velocity=1.0;error=0.0;runs=3;network_type=LINE;landscape_seed=123;random_seed=42;network_seed=7
